,Sample Code,Client Name,Farm Name,Field Name,Crop,Depth,Condition,Comments,Nitrate N (ppm),Ammonium(ppm),Total Nitrogen (%),Phosphorus(ppm)
,CM073SA0838,Mpala Research Centre,Termite Project Princeton,1054D,No crop,Top Soil,Dry,,3.30,11.7,0.11,50.9
,CM073SA0839,Mpala Research Centre,Termite Project Princeton,105D,No crop,Top Soil,Dry,,5.63,10.0,0.096,45.5
,CM073SA0840,Mpala Research Centre,Termite Project Princeton,1254D,No crop,Top Soil,Dry,,3.50,13.9,0.16,87.8
,CM073SA0841,Mpala Research Centre,Termite Project Princeton,125D,No crop,Top Soil,Dry,,5.73,13.1,0.087,105
,CM073SA0842,Mpala Research Centre,Termite Project Princeton,1354D,No crop,Top Soil,Dry,,2.64,12.1,0.17,96.9
,CM073SA0843,Mpala Research Centre,Termite Project Princeton,135D,No crop,Top Soil,Dry,,6.44,15.4,0.20,158
,CM073SA0844,Mpala Research Centre,Termite Project Princeton,1554D,No crop,Top Soil,Dry,,2.05,12.5,0.12,50.9
,CM073SA0845,Mpala Research Centre,Termite Project Princeton,155D,No crop,Top Soil,Dry,,5.53,13.2,0.13,102
,CM073SA0846,Mpala Research Centre,Termite Project Princeton,1654D,No crop,Top Soil,Dry,,2.26,13.1,0.12,70.3
,CM073SA0847,Mpala Research Centre,Termite Project Princeton,165D,No crop,Top Soil,Dry,,6.12,15.9,0.24,109
,CM073SA0848,Mpala Research Centre,Termite Project Princeton,175D,No crop,Top Soil,Dry,,2.45,13.0,0.084,37.6
,CM073SA0849,Mpala Research Centre,Termite Project Princeton,185D,No crop,Top Soil,Dry,,3.34,14.8,0.10,53.2
,CM073SA0850,Mpala Research Centre,Termite Project Princeton,354D,No crop,Top Soil,Dry,,2.13,12.4,0.17,52.3
,CM073SA0851,Mpala Research Centre,Termite Project Princeton,35D,No crop,Top Soil,Dry,,4.80,18.0,0.11,53.2
,CM073SA0852,Mpala Research Centre,Termite Project Princeton,454D,No crop,Top Soil,Dry,,2.41,13.8,0.13,45.5
,CM073SA0853,Mpala Research Centre,Termite Project Princeton,45D,No crop,Top Soil,Dry,,4.16,14.4,0.26,174
,CM073SA0854,Mpala Research Centre,Termite Project Princeton,554D,No crop,Top Soil,Dry,,2.62,14.1,0.071,67.6
,CM073SA0855,Mpala Research Centre,Termite Project Princeton,55D,No crop,Top Soil,Dry,,3.46,12.2,0.13,86.8
,CM073SA0856,Mpala Research Centre,Termite Project Princeton,654D,No crop,Top Soil,Dry,,2.35,14.0,0.14,3.06
,CM073SA0857,Mpala Research Centre,Termite Project Princeton,65D,No crop,Top Soil,Dry,,3.61,12.4,0.12,284
,CM073SA0858,Mpala Research Centre,Termite Project Princeton,954D,No crop,Top Soil,Dry,,3.36,12.4,0.17,128
,CM073SA0859,Mpala Research Centre,Termite Project Princeton,95D,No crop,Top Soil,Dry,,10.6,13.9,0.077,70.2
,CM073SA0860,Mpala Research Centre,Termite Project Princeton,D1154D,No crop,Top Soil,Dry,,3.58,15.0,0.15,73.1
,CM073SA0861,Mpala Research Centre,Termite Project Princeton,D11SD,No crop,Top Soil,Dry,,5.26,11.8,0.13,78.2
,CM073SA0862,Mpala Research Centre,Termite Project Princeton,D154D,No crop,Top Soil,Dry,,4.59,19.0,0.13,69.7
,,,,,,,,,,,,
,CM073SA0863,Mpala Research Centre,Termite Project Princeton,D1SD,No crop,Top Soil,Dry,,4.47,18.1,0.18,95.7
,CM073SA0864,Mpala Research Centre,Termite Project Princeton,D254D,No crop,Top Soil,Dry,,2.87,13.9,0.11,61.9
,CM073SA0865,Mpala Research Centre,Termite Project Princeton,D2SD Bag 1,No crop,Top Soil,Dry,,3.60,13.6,0.14,101
,CM073SA0866,Mpala Research Centre,Termite Project Princeton,D2SD Bag 2,No crop,Top Soil,Dry,,3.04,13.8,0.16,93.0
,CM073SA0867,Mpala Research Centre,Termite Project Princeton,Roadside 1,No crop,Top Soil,Dry,,4.02,14.7,0.091,51.2
,CM073SA0868,Mpala Research Centre,Termite Project Princeton,Roadside 2,No crop,Top Soil,Dry,,2.64,15.8,0.13,69.2
,CM073SA0869,Mpala Research Centre,Termite Project Princeton,Roadside 3,No crop,Top Soil,Dry,,2.98,13.4,0.23,32.8
,CM073SA0870,Mpala Research Centre,Termite Project Princeton,1754D,No crop,Top Soil,Dry,,3.39,13.7,0.16,129
,,,,,,,,,,,,
